DataSource,Area,DatasetType,Period,Season,VariableName,VariableUnit,VariableValue
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,7.5
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8.3
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11.8
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,10.8
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,7.8
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8.1
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,10.4
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,10.2
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,6.4
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,7.4
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11.4
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,10.4
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,6.5
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,7.6
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11.5
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,10.8
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,6.5
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,7.3
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11.4
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,10.3
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,8.5
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,8.7
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,7.9
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,8.6
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,11.7
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,11.1
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,10.6
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,10.5
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,6.4
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,11.8
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Wi,sea bottom temperature,°C,6.4
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Sp,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Su,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Au,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Wi,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Sp,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Su,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Au,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Wi,sea bottom temperature,°C,7.8
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Wi,sea bottom temperature,°C,6.7
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Wi,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Sp,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Su,sea bottom temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Au,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Wi,sea surface salinity,,33.75
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Sp,sea surface salinity,,33.81
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Su,sea surface salinity,,33.84
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Au,sea surface salinity,,33.79
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Wi,sea surface salinity,,33.13
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Sp,sea surface salinity,,32.97
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Su,sea surface salinity,,33.32
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Au,sea surface salinity,,33.35
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.65
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.46
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Su,sea surface salinity,,34.55
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Au,sea surface salinity,,34.6
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.48
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.43
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Su,sea surface salinity,,34.54
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Au,sea surface salinity,,34.47
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.85
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.97
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Su,sea surface salinity,,34.87
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Au,sea surface salinity,,34.92
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.56
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.64
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Su,sea surface salinity,,34.74
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Au,sea surface salinity,,34.74
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.83
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.86
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Su,sea surface salinity,,34.88
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Au,sea surface salinity,,34.89
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Wi,sea surface salinity,,35.23
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Sp,sea surface salinity,,35.28
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Su,sea surface salinity,,35.21
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Au,sea surface salinity,,35.22
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.47
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.39
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Su,sea surface salinity,,34.79
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Au,sea surface salinity,,34.75
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.52
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.45
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Su,sea surface salinity,,34.66
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Au,sea surface salinity,,34.71
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Wi,sea surface salinity,,34.2
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Sp,sea surface salinity,,34.02
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Su,sea surface salinity,,34.28
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Au,sea surface salinity,,34.29
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Wi,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Sp,sea surface salinity,,33.93
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Su,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Au,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Wi,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Sp,sea surface salinity,,32.97
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Su,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Au,sea surface salinity,,33.38
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.69
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.42
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Su,sea surface salinity,,34.47
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Au,sea surface salinity,,34.58
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.47
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.44
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Su,sea surface salinity,,34.47
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Au,sea surface salinity,,34.51
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.87
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Sp,sea surface salinity,,35.01
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Su,sea surface salinity,,34.8
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Au,sea surface salinity,,34.9
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Wi,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Sp,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Su,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Au,sea surface salinity,,-99
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.83
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.85
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Su,sea surface salinity,,34.88
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Au,sea surface salinity,,34.88
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Wi,sea surface salinity,,35.24
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Sp,sea surface salinity,,35.28
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Su,sea surface salinity,,35.22
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Au,sea surface salinity,,35.23
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.5
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.39
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Su,sea surface salinity,,34.77
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Au,sea surface salinity,,34.76
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.52
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.4
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Su,sea surface salinity,,34.62
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Au,sea surface salinity,,34.68
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Wi,sea surface salinity,,34.21
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Sp,sea surface salinity,,34.02
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Su,sea surface salinity,,34.32
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Au,sea surface salinity,,34.37
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Wi,sea surface salinity,,34.54
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Au,sea surface salinity,,34.43
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Wi,sea surface salinity,,34.82
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Wi,sea surface salinity,,34.93
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Sp,sea surface salinity,,34.89
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Su,sea surface salinity,,34.89
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Au,sea surface salinity,,34.87
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Su,sea surface salinity,,35.23
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Au,sea surface salinity,,35.23
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Wi,sea surface salinity,,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Wi,sea surface salinity,,34.44
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Su,sea surface salinity,,34.64
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Wi,sea surface salinity,,34.24
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Sp,sea surface salinity,,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Su,sea surface salinity,,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Au,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Wi,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Sp,sea surface salinity,,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Su,sea surface salinity,,-99
